 &Age[yrs]  &H         
 &1.000E+07 &2.515E+08
 &1.280E+07 &3.766E+08
 &1.640E+07 &5.313E+08
 &2.100E+07 &6.279E+08
 &2.688E+07 &6.279E+08
 &3.443E+07 &6.279E+08
 &4.408E+07 &6.279E+08
 &5.645E+07 &6.279E+08
 &7.228E+07 &6.279E+08
 &9.255E+07 &6.279E+08
 &1.185E+08 &6.279E+08
 &1.518E+08 &6.279E+08
 &1.943E+08 &6.279E+08
 &2.488E+08 &6.279E+08
 &3.186E+08 &6.279E+08
 &4.080E+08 &6.279E+08
 &5.224E+08 &6.279E+08
 &6.690E+08 &6.279E+08
 &8.566E+08 &6.279E+08
 &1.097E+09 &6.279E+08
 &1.405E+09 &6.279E+08
 &1.799E+09 &6.279E+08
 &2.303E+09 &6.279E+08
 &2.949E+09 &6.279E+08
 &3.776E+09 &6.279E+08
 &4.835E+09 &6.279E+08
 &6.192E+09 &6.279E+08
 &7.928E+09 &6.279E+08
 &1.015E+10 &6.279E+08
 &1.300E+10 &6.279E+08
